function,desc,arguments
Cos,"Cos (x) -- cosine  where x, is number. Returns a number.",TRUE
Date_Time,"Date_Time returns the absolute TotalPlant Solution (TPS) System date/time; that is, 
seconds since 
midnight of 1 Jan 1979",FALSE
Delete_File,"Delete_File (s, fm, p) 
This subroutine deletes the named History Module file (unless the file is protected).  It 
can only be called by a Background CL Block. 
 
Where: “s” will contain the return status of the read request 
 
 “fm” will contain additional status information for some failure types 
 
 “p” is the full pathname of the file to be deleted (must be uppercase) 
 
The only status values to be expected (for a complete listing see heading 4.11) are: 
 OK = successful file deletion 
 BADPATH = an invalid file path was specified 
 FMNOFIL = the specified file does not exist 
 FMHARD = the device on which the file is located reported a physical error 
condition 
 FMNOVOL = the specified volume does not exist 
 FMMOUNT = the specified volume is not mounted 
 FMOTHER = another type of File Manager error has occurred; the “fm” status 
argument contains a supplemental status code 
 
“fm” Status Information—There are several problems that the file manager can 
encounter that are caused by incorrect system configuration or by failures in system 
hardware or software.  When one of these occurs, the “s” status value is set to 
FMOTHER and the “fm” status will contain a File Manager status number (see 
heading 4.10 for interpretations). ",TRUE
Enum_Value_Store,"Enum_Value_Store (e, o, s) 
This subroutine takes a real number as input, converts it to integer, stores that value as 
the state of an enumeration or SDE and returns a success/fail status value.   
 
Where: “e” is a reference to a standard enumeration, or custom enumeration, or self-defining
enumeration (the enumeration can be a CL LOCAL variable, a 
parameter on the Bound Data Point, or a parameter on another point) to be 
stored to. 
 
 “o” is a NUMBER value that represents the desired ordinal state of the 
referenced enumeration (where zero is the first enumeration state). 
 
 “s” is a CLERRSTS enumeration value expressing return status. 
 
Off-node store requests initiated from Background CL Blocks take place immediately; 
Off-node store requests from Foreground Blocks take place at the end of point 
processing. 
 
The CL will have an abnormal status return for any of these reasons: 
1) Reference is not to an enumeration or self-defining enumeration (cnferr). 
2) Reference specifies a whole array (cnferr). 
3) Cannot store enumeration to the referenced point.parameter (error type is data 
owner dependent). 
4) CL LOCAL store value out of range (cnferr) ",TRUE
Equal_Null_Point_id,"Equal_Null_Point_id (p) 
This function determines if a parameter of type point_id is an LCN null point identifier 
(the value being compared can be either a single CDS parameter or a subscripted 
element of an array).  The null identifier may be an on-LCN or an off-LCN identifier It 
returns ON if the point_id is an LCN null identifier (see heading 2.3.8 for more 
information on null point identifiers).  It will return OFF for any of the following 
reasons: 
1) point_id value is not null. 
2) cannot access the parameter. 
3) point_id specifies an entire array. 
4) point_id is not of type entity_id. ",TRUE
Equal_Point_id,"Equal_Point_id (p1, p2) 
This function compares two CDS parameters of type point_id (either value being 
compared can be a single CDS parameter or a subscripted element of an array).  The 
points may be on-LCN or off-LCN  It returns ON if the two CDS point_id values are 
equal (see heading 2.3.4.2 for more information on data point identifiers).  It will 
return OFF for any of the following reasons: 
1) point_id values of the arguments are not the same. 
2) cannot access either parameter. 
3) either point_id specifies an entire array. 
4) either point_id is not of type entity_id.",TRUE
Exists,"Exists (p) 
This function accepts an argument that is an unsubscripted data point/parameter 
reference of any data type.  It returns ON if the data point and parameter exist.  It 
returns OFF if either the data point does not exist or the point exists but the parameter 
does not, or if the Exists check is through a null point identifier, or if a 
communications error occurs on the Exists call, or if a software inconsistency exists 
between CL and the data owner (ERROR1).  The data point may be on-LCN or off-LCN.
 The argument of Exists is restricted in the same way as that of Comm_Error. 
 
Note:  HG boxes placed in TEST control mode return Exists OFF when the parameter 
requested is HG box resident (for example, MODE).  Otherwise, HG TEST control 
mode returns Exists ON when the parameter is HG resident (for example, 
PTEXECST). ",TRUE
Exp,"Exp (x) -- exponential  where x, is number. Returns a number.",TRUE
File$Convert_FM_Status,"This routine takes a File Manager status value and returns a string that describes what the status 
means. 
 
SUBROUTINE File$Convert_FM_Status 
   (ASCII_File_Manager_Status  : OUT STRING;  -- Status description 
    File_Manager_Status        : IN  NUMBER;  -- Numeric status code 
    Status                     : OUT LOGICAL) -- Status code validity  
 
This subroutine can be called from CL blocks linked to any insertion point. 
 
Convert_FM_Status takes a numeric file manager status and returns a string describing the 
status.  Status is ON if the input is a valid file manager status value, otherwise, status is OFF. ",TRUE
File$Create_Directory,"This subroutine is used to create a directory on a specified volume on a floppy or cartridge.  
Each floppy or cartridge can have up to 63 directories. 
 
SUBROUTINE File$Create_Directory 
   (Return_Status      : OUT NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT NUMBER;  -- File Manager error status 
    Path               : IN  STRING;  -- Pathname excluding file_name  
                                      -- and extension 
    Directory_name     : IN  STRING)  -- New directory's name 
 
The Path parameter must be of this form:  PN:nn>DEV:xxmm>volume_id> 
 
Path identification contents are defined at heading C.2.4; directory name restrictions are 
explained at heading C.2.9. 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 6.0 — Device error  
 12.0 — Other File Manager error 
 41.0 — Duplicate volume 
 42.0 — Volume not mounted  
 43.0 — Duplicate directory 
 49.0 — Directory name too long ",TRUE
File$Create_Volume,"This subroutine is used either to create a volume on an initialized floppy/cartridge, or to both 
initialize the medium and create a volume on it. 
 
SUBROUTINE File$Create_Volume 
   (Return_Status      : OUT NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT NUMBER;  -- File Manager error status 
    Max_Num_Files      : IN  NUMBER;  -- Maximum number of files  
    Format             : IN  LOGICAL; -- on = format, then initialize; 
                                      -- off = initialize only 
    Mem_Dir_Opt        : IN  LOGICAL; -- on  = keep file locators in  
                                      -- memory; off = do not keep 
                                      -- file locators in memory 
    Volume_id          : IN  STRING;  -- 20-character volume identifier 
    Path               : IN  STRING)  -- Pathname excluding file_name  
                                      -- and extension 
 
The Max_Num_Files parameter specifies the maximum number of files that can be created on 
this volume (the minimum is 26).  A floppy can hold a maximum of 300 files; the cartridge disk 
limit is 3000X files.  Note that allowing a large number of files has an impact on data space 
availablity since one sector of housekeeping data is required for each five files. 
 
The up-to-20 character volume identifier string must be left justified (no leading spaces). 
 
The Path parameter must be of this form:  PN:nn>DEV:xxmm>volume_id> 
 
Path identification contents are defined at heading C.2.4 and requirements for the four-character 
volume_id are explained at heading C.2.9. 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 6.0 — Device error  
 12.0 — Other File Manager error 
 33.0 — Input value out of range 
 42.0 — Volume not mounted",TRUE
File$Create_Volume_With_Descriptors,"This subroutine can be used to create a volume with descriptors on an initialized removable 
media, or to both initialize the media and create a volume with descriptors.  It  has the same 
function as the File$Create_Volume subroutine plus provides for descriptors in each directory 
and file of the volume. 
 
SUBROUTINE File$Create_Volume_With_Descriptors 
   (Return_Status      : OUT NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT NUMBER;  -- File Manager error status 
    Max_Num_Files      : IN  NUMBER;  -- Maximum number of files  
    Format             : IN  LOGICAL; -- on = format, then initialize; 
                                      -- off = initialize only 
    Mem_Dir_Opt        : IN  LOGICAL; -- on  = keep file locators in  
                                      -- memory; off = do not keep 
                                      -- file locators in memory 
    Volume_id          : IN  STRING;  -- 20-character volume identifier 
    Path               : IN  STRING)  -- Pathname excluding file_name  
                                      -- and extension 
 
The Max_Num_Files parameter specifies the maximum number of files that can be created on 
this volume (the minimum is 26).  A floppy can hold a maximum of 300 files; the cartridge disk 
limit is 3000X files.  Note that allowing a large number of files has an impact on data space 
availablity since one sector of housekeeping data is required for each five files.  With 
descriptors, an additional (((Max_Num_Files + 63) * 64)/256) sectors are required. 
 
A double-sided, double density diskette contains 4004 sectors.  The maximum number of files 
allowed on the volume will be at least as many as specified.  It may be a few more. 
 
The up-to-20 character volume identifier string must be left justified (no leading spaces). 
 
The Path parameter must be of this form:  PN:nn>DEV:xxmm>volume_id> 
 
Path identification contents are defined at heading C.2.4 and requirements for the four-character 
volume_id are explained at heading C.2.9. 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 6.0 — Device error  
 12.0 — Other File Manager error 
 33.0 — Input value out of range 
 42.0 — Volume not mounted  ",TRUE
File$Delete_Directory,"This subroutine is used to delete the specified directory from a specified volume on a floppy or 
cartridge. 
 
SUBROUTINE File$Delete_Directory 
   (Return_Status      : OUT NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT NUMBER;  -- File Manager error status 
    Path               : IN  STRING;  -- Pathname excluding file_name  
                                      -- and extension 
    Directory_name     : IN  STRING)  -- Directory name 
 
The Path parameter must be of this form:  PN:nn>DEV:xxmm>volume_id> 
 
Path identification contents are defined at heading C.2.4; directory name restrictions are 
explained at heading C.2.9. 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 6.0 — Device error  
 12.0 — Other File Manager error 
 41.0 — Duplicate volume 
 42.0 — Volume not mounted  
 44.0 — Directory not found 
 45.0 — Directory not empty 
 49.0 — Directory name too long",TRUE
File$Delete_File,"This subroutine is used to delete files either from the History Module or a floppy/cartridge.  The 
only effective difference between this subroutine and the standard AM subroutine Delete_File is 
that this subroutine allows access to removable media. 
 
SUBROUTINE File$Delete_File 
   (Return_Status      : OUT NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT NUMBER;  -- File Manager error status 
    Path               : IN  STRING)  -- Pathname including file_name  
                                      -- and extension 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
This subroutine can be used to delete a file on another LCN.  In this case, the file to be deleted 
must be on a History Module. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 3.0 — File privilege violation 
 5.0 — File does not exist 
 9.0 — Volume does not exist (or in some cases is not mounted) 
 12.0 — Other File Manager error 
 28.0 — File already open 
 29.0 — File reserved for another operation 
 36.0 — Can't access file (due to HM failure, etc.) ",TRUE
File$Get_File_Attributes," 
This subroutine gets the file name, extension, file size (for files with fixed length records), and 
time stamp of any file in a list previously created by File$Read_Directory. 
 
SUBROUTINE File$Get_File_Attributes 
   (Return_Status      : OUT  NUMBER;  -- File R/W error status 
    File_Name_and_ext  : OUT  STRING;  -- Filename.extension; 
    File_Size          : OUT  NUMBER;  -- Number of words used by file 
    Time_Stamp         : OUT  TIME;    -- File creation date and time 
    File_Number        : IN   NUMBER;  -- Input slot in list 
    File_List_Number   : IN   NUMBER)  -- Value returned by preceding 
                                       -- File$Read_Directory call 
 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 20.0 — Can't read file control table pointer 
 33.0 — Input value (file number) out of range 
 48.0 — File list number is invalid ",TRUE
File$Get_File_Descriptor,"This subroutine gets the descriptor of any file in a list previously created by 
File$Read_Directory. 
 
SUBROUTINE File$Get_File_Descriptor 
   (Return_Status      : OUT    NUMBER;  -- File R/W error status 
    File_Descriptor    : OUT    STRING;  -- 64-character descriptor 
    File_Number        : IN     NUMBER;  -- Input slot in list 
    File_List_Number   : IN     NUMBER)  -- value returned by preceding 
                                         -- File$Read_Directory call 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
The descriptor value is 64 characters long. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 20.0 — Can't read file control table pointer 
 33.0 — Input value (file number) out of range 
 48.0 — File list number is invalid",TRUE
File$Get_Volume_Directories," 
This subroutine gets a list of all the directories on a selected volume.  It uses about 3300 words 
of stack for the array of directory names it returns.  Therefore, you should always embed this 
call within a CL subroutine (CL subroutine stack usage is only in effect while the subroutine is 
executing).  The array to receive directory names must contain at least 63 elements (maximum 
number of directories in a volume).  If the directory_id_array is not at least a 63-element string 
array, the calling program aborts with a PROGERR. 
 
SUBROUTINE File$Get_Volume_Directories 
   (Return_Status      : OUT    NUMBER;  -- File R/W error status 
    DA_Status          : OUT    NUMBER;  -- Data access return status 
    File_Manager_Stat  : OUT    NUMBER;  -- File Manager error status 
    Max_Number_Files   : OUT    NUMBER;  -- Maximum files allowed 
    No_of_Directories  : OUT    NUMBER;  -- Number of directories 
    Identifier_String  : OUT    STRING;  -- 20-char identifier 
    Directory_id_Array : OUT    arr_nm;  -- String Array 1..63 to hold  
                                         -- returned directory names 
    Path               : IN     STRING)  -- Pathname may include  
                                         -- file_name and extension 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
This subroutine can be used to obtain a list of directories from another LCN.  In this case, the 
volume must be on a History Module. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 6.0 — Device error  
 9.0 — Volume does not exist (or in some cases is not mounted) 
 12.0 — Other File Manager error 
 18.0 — Error returned on Get/Store parameter 
 25.0 — Reference list number invalid ",TRUE
File$Get_Volume_Directories_D,"This subroutine gets a list of all the directories and the directories' descriptors on a given 
volume.  It uses about 3300 words of stack for the array of directory names and descriptors that 
it returns.  Therefore, you should always embed this call within a CL subroutine (CL subroutine 
stack usage is in effect only while the subroutine is executing).  The array to receive directory 
names must contain at least 63 elements (the maximum number of directories in a volume).  If 
the directory_id_array is not at least a 63-element string array, the calling program aborts with a 
PROGERR. 
 
The returned directory array contains the directory name in the first four characters, then a 
space, and then the 64-character descriptor. 
 
SUBROUTINE File$Get_Volume_Directories_D 
   (Return_Status      : OUT    NUMBER;  -- File R/W error status 
    DA_Status          : OUT    NUMBER;  -- Data access return status 
    File_Manager_Stat  : OUT    NUMBER;  -- File Manager error status 
    Max_Number_Files   : OUT    NUMBER;  -- Maximum files allowed 
    No_of_Directories  : OUT    NUMBER;  -- Number of directories 
    Identifier_String  : OUT    STRING;  -- 20-char identifier 
    Directory_id_Array : OUT    arr_nm;  -- String Array 1..63 to hold  
                                         -- returned directory names 
    Path               : IN     STRING)  -- Pathname may include  
                                         -- file_name and extension 
 
This subroutine can only be called from a CL Block linked to a background insertion point. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 9.0 — Volume does not exist (or in some cases is not mounted) 
 12.0 — Other File Manager error 
 18.0 — Error returned on Get/Store parameter 
 25.0 — Reference list number invalid ",TRUE
File$Modify_Directory_Descriptor,"This subroutine can be used to add, modify, or delete a directory descriptor.  Deleting a 
descriptor means setting the descriptor value equal to all blanks. 
 
SUBROUTINE File$Modify_Directory_Descriptor 
   (Return_Status      : OUT    NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT    NUMBER;  -- File Manager error status 
    Descriptor         : IN     STRING;  -- New descriptor value 
    Path               : IN     STRING)  -- Pathname excluding the  
                                         -- file_name and extension 
 
This subroutine can only be called from a CL Block linked to a background insertion point. 
 
The descriptor value is 64 characters long.  If the input string is less than 64 characters, the 
remainder of the descriptor is blank filled.  If the input string is longer than 64 characters, it is 
truncated. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 12.0 — Other File Manager error 
 41.0 — Duplicate volume 
 42.0 — Volume not mounted 
 43.0 — Duplicate directory 
 49.0 — Directory name too long 
 50.0 — Descriptors not defined ",TRUE
File$Modify_File_Descriptor,"This subroutine can be used to add, modify, or delete a file's descriptor.  Deleting a descriptor 
means setting the descriptor value equal to all blanks. 
 
SUBROUTINE File$Modify_File_Descriptor 
   (Return_Status      : OUT    NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT    NUMBER;  -- File Manager error status 
    Descriptor         : IN     STRING;  -- New descriptor value 
    Path               : IN     STRING)  -- Pathname including the  
                                         -- file_name and extension 
 
This subroutine can only be called from a CL Block linked to a background insertion point. 
 
The descriptor value is 64 characters long.  If the input string is less than 64 characters, the 
remainder of the descriptor is blank filled.  If the input string is longer than 64 characters, it is 
truncated. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 12.0 — Other File Manager error 
 41.0 — Duplicate volume 
 42.0 — Volume not mounted 
 43.0 — Duplicate directory 
 49.0 — Directory name too long 
 50.0 — Descriptors not defined ",TRUE
File$Modify_Volume_ID_String,"This subroutine can be used to modify a volume ID string.  The up-to-20 character volume 
identifier must be specified in the call. 
 
SUBROUTINE File$Modify_Volume_ID_String 
   (Return_Status      : OUT    NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT    NUMBER;  -- File Manager error status 
    Volume_id          : IN     STRING;  -- 20 character volume  
                                         -- identifier 
    Path               : IN     STRING)  -- Pathname excluding the  
                                         -- filename and extension 
 
The volume identifier string must be left justified (no leading spaces). 
 
This subroutine can only be called from a CL Block linked to a background insertion point. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 1.0 — Invalid file pathname 
 6.0 — Device error  
 12.0 — Other File Manager error 
 33.0 — Input value out of range 
 42.0 — Volume not mounted ",TRUE
File$Read_Directory," 
This subroutine is used with the next two calls (File$Get_File_Attributes and 
File$Read_Directory_Complete) to allow a CL program to cycle through, one at a time, 
operations on all the files in a particular volume or directory.  This ""cycling"" would, for 
example, be done to copy all or a subset of the files from one volume to a backup volume or to 
delete files for a volume.  A maximum of 10 read directory operations can occur 
simultaneously. 
 
The File$Read_Directory subroutine creates a list of all the files on the volume that match the 
""wildcard"" filename and extension specified in the pathname.  The first time it is called, this 
subroutine returns the first 26 file names matched (if there are that many that match).  
Subsequent calls return the second 26, etc., until all matching file names have been returned.  
When the OUT parameter number_of_files is returned equal to zero, all file names have been 
read. 
 
After completing work on the last group of file names returned, the CL program must call the 
subroutine File$Read_Directory_Complete to close the directory function.  This deallocates 
space used by the list and frees up the file list number for reuse.  
File$Read_Directory_Complete is automatically called for all ""open"" directories when a CL is 
aborted or terminates normally.  One CL cannot access another CL's ""open"" directory. 
 
SUBROUTINE File$Read_Directory 
   (Return_Status      : OUT    NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT    NUMBER;  -- File Manager error status 
    Number_of_files    : OUT    NUMBER;  -- Number of files returned 
    File_List_Number   : IN OUT NUMBER;  -- List id is returned by call 
    Path               : IN     STRING;  -- Pathname excluding file  
                                         -- name and extension 
    File_Name_and_ext  : IN     STRING)  -- File name and extension; 
                                         -- must include ""wildcard""  
                                         -- entries 
 
The File_List_Number parameter must equal zero the first time the subroutine is called.  If the 
IN value is not zero, the list number is used to access a previously created list. 
 
Question marks are used as ""wildcard"" entries in file names and extensions.",TRUE
File$Read_Directory_Complete,"This must be called to deallocate the space used for a list of file names created by 
File$Read_Directory. 
 
SUBROUTINE File$Read_Directory_Complete 
   (Return_Status      : OUT   NUMBER;  -- File R/W error status 
    File_Manager_Stat  : OUT   NUMBER;  -- File Manager error status 
    File_List_Number   : IN    NUMBER)  -- List to be deallocated 
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
This subroutine can be used to deallocate the space used for a list of files read from another 
LCN (see File$Read_Directory). 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 6.0 — Device error  
 12.0 — Other File Manager error 
 42.0 — Volume not mounted  
 46.0 — Major corruption of AM 
 48.0 — File list number is invalid",TRUE
File$Strip_Blanks,"This routine determines whether or not leading blanks are removed from values of type String 
on subsequent calls to File$Get_Field (see heading C.6.7). 
 
SUBROUTINE File$Strip_Blanks 
   (Return_Status      : OUT NUMBER;  -- File I/O set error status 
    File_Number        : IN  NUMBER;  -- File number from Open_File call 
    Strip              : IN  LOGICAL) -- If = ON, strip leading blanks  
 
This subroutine can only be called from a CL block linked to a background insertion point. 
 
This routine allows a CL program to specify whether or not Get_Field will strip leading blanks 
from values of type string.  If Strip = ON, any blank characters are removed from the beginning 
of the string returned in the Output_Value argument.  If Strip = OFF, leading blanks are 
retained.  The default (Strip_Blanks is never called by the CL program) is to strip leading blanks 
from string values. 
 
File_Number must be the value returned from a previous Open_File call. 
 
Possible Return_Status Values for this function: 
 
 0.0 — Good status 
 13.0 — File number is invalid 
 20.0 — Can’t read file control table pointer 
 34.0 — Number not assigned to this CL Block—access denied ",TRUE
File$Upper_Case,"This subroutine converts all lower case alphabetic characters of a string into upper case. 
 
SUBROUTINE File$Upper_Case 
   (Converted_String   : OUT STRING;  -- The converted string 
    String_to_Convert  : IN  STRING)  -- The string to convert 
 
 
Possible Return_Status Values for this function: 
 
  
None",TRUE
Get_CL_Slot,"Get_CL_Slot (s, i) 
This subroutine takes a string input (s), compares it with the names of all CL blocks on 
the point and returns real number index value (i) if a match is found (returns -1 if no 
match is found).  If the input string is longer than eight characters, only the first eight 
characters are used for the comparison.  The character string must be all in upper case.  
Reasons for Get_CL_Slot  index to be invalid are: 
1) slot name cannot be found (-1.0). 
2) the character string contains lower case alphabetic characters (-1.0)",TRUE
Int,"Int (x) -- truncate to integer  where x, is number. Returns a number.",TRUE
Len,"Len (s) 
Len returns the length of the String it is passed.  For example, 
Len(""abcde"") = 5;  Len("""") = 0. ",TRUE
Ln,"Ln (x) -- natural logarithm  where x, is number. Returns a number.",TRUE
Log10,"Log10 (x) -- common logarithm  where x, is number. Returns a number.",TRUE
Max,"Max (x, y, ...) -- maximum  where x, is number. Returns a number.
Max (x) -- maximum where x is an array. Returns a number.",TRUE
Min,"Min (x, y, ...) -- minimum  where x, is number. Returns a number.
Min (x) -- minimum where x is an array. Returns a number.",TRUE
